"","city","lat","lon","distance"
"95","Chania  Greece",35.5138298,24.0180367,1382.26496998615
"96","Charleroi  Belgium",50.4108095,4.444643,1131.98944372306
"97","Charleston USA KC USA",39.2176176,-94.51921,8389.91394597689
"98","Chateauroux  France",46.811434,1.686779,1331.66240833052
"99","Chernovtsy  Ukraine",48.2920787,25.9358367,508.972639213646
"100","Chios  Greece",38.3709813,26.1363457,1152.56182554522
"101","Chisinau  Moldova",47.0104529,28.8638103,729.19790425964
"102","Cincinnati USA KC USA",39.1031182,-84.5120196,7819.71846855356
"103","Ciudad Spain LE Spain",38.9169569,-4.0695454,2107.97896876808
"104","Clermont-Ferrand  France",45.777222,3.087025,1249.62071768441
"105","Constanta  Romania",44.1598013,28.6348138,814.794183990332
"106","Cork  Ireland",51.8968917,-8.4863157,2049.09232095141
"107","Coventry  United Kingdom",52.406822,-1.519693,1583.77435133253
"108","Dalaman  Turkey",36.76662,28.799991,1422.05590862751
"109","Damaskus  Syria",33.5138073,36.2765279,2106.21697022039
"110","Debrecen  Hungary",47.5316049,21.6273123,179.450018955495
"111","Delhi India VI India",18.4862873,73.803899,5867.48776603669
"112","Dhaka  Bangladesh",23.810332,90.4125181,6702.97604503476
"113","Dinard  France",48.633024,-2.055125,1589.14928029676
"114","Djerba  Tunesia",33.8075978,10.8451467,1669.99656999538
"115","Dnepropetrovsk  Ukraine",48.464717,35.046183,1183.26456560277
"116","Doha  Katar",25.2854473,51.5310398,3752.31151977856
"117","Donetsk  Ukraine",48.015883,37.80285,1389.90258837018
"118","Dortmund Germany ED Germany",51.5135872,7.4652981,965.293397953644
"119","Dover USA KD USA",51.1278758,1.3134027,1363.97123698522
"120","Dresden Germany ED Germany",51.0504088,13.7372621,567.583100736843
"121","Dubai  United Arab Emirates",25.2048493,55.2707828,4009.66649854845
"122","Dublin  Ireland",53.3498053,-6.2603097,1916.9949329867
"123","Dubrovnik  Croatia",42.6506606,18.0944238,539.7968999717
"124","Düsseldorf Germany ED Germany",51.2277411,6.7734556,998.279415636472
"125","East Midlands  United Kingdom",NA,NA,NA
"126","Edinburgh  United Kingdom",55.953252,-3.188267,1805.48249247669
"127","Egelsbach Germany ED Germany",49.9663895,8.6633158,827.533925812685
"128","Eindhoven  The Netherlands",51.441642,5.4697225,1091.88685588592
"129","Eisenach-Kindel Germany ED Germany",50.9959955,10.4691602,751.435331913417
"130","Emmen  Switzerland",47.0772338,8.275637,830.929220036138
"131","Enfidha  Tunesia",36.1341527,10.3750554,1454.03860456493
"132","Entebbe  Uganda",0.0511839,32.463708,5404.73140536747
"133","Erfurt Germany ED Germany",50.9847679,11.0298799,716.481131176957
"134","Esbjerg  Denmark",55.476466,8.459405,1164.44840679581
"135","Evenes  Norway",68.4607141,16.6992672,2345.66689788459
"136","Firenze  Italy",43.7695604,11.2558136,744.559264563046
"137","Forli  Italy",44.2227398,12.0407312,664.059630202901
"138","Fort Dix USA KW USA",40.0298354,-74.61849,7132.28573776391
"139","Fortaleza  Brasil",-3.7318616,-38.5266704,7977.76755821374
"140","Frankfurt Germany ED Germany",50.1109221,8.6821267,830.766725268466
"141","Friedrichshafen Germany ED Germany",47.6617648,9.4800113,735.344600533807
"142","Fukuoka Japan RJ Japan",33.5903547,130.4017155,8717.82111658036
"143","Fukushima Japan RJ Japan",36.9552351,140.847634,9008.63765529191
"144","Funchal  Portugal",32.6669328,-16.9240554,3452.35202498682
"145","Gander  Canada",48.954408,-54.6103488,5268.19121242169
"146","Gdansk  Poland",54.3520252,18.6466384,770.269755849922
"147","Gemena  Congo",-4.3476362,15.3092135,5749.75103629141
"148","Geneve  Switzerland",46.2043907,6.1431577,1008.30741792472
"149","Genova  Italy",44.4056499,8.946256,866.592113351048
"150","Gerona Spain LE Spain",41.9794005,2.8214264,1432.52022265758
"151","Gomel  Belorussia",52.4411761,30.9878462,1007.85468157794
"152","Göteborg  Sweden",57.70887,11.97456,1243.07504589771
"153","Granada Spain LE Spain",37.1773363,-3.5985571,2189.41277036384
"154","Graz  Austria",47.070714,15.439504,291.292208512196
"155","Grenoble  France",45.188529,5.724524,1069.88953737469
"156","Grodna  Belorussia",53.6693538,23.8131306,764.457510003504
"157","Grosseto  Italy",42.7635254,11.1123634,823.960530302206
"158","Gröningen  The Netherlands",53.2193835,6.5665018,1106.10910235239
"159","Guernsey  United Kingdom",49.4481982,-2.58949,1625.30593006952
"160","Gyõr-Pér  Hungary",47.6283,17.808611,110.570055205682
"161","Habarovszk  Russia",48.5027313,135.0662599,7707.69189650382
"162","Hahn Germany ED Germany",49.9632914,7.2706997,924.214902062881
"163","Hamburg Germany ED Germany",53.5510846,9.9936818,943.909930332605
"164","Hamilton  Canada",43.2500208,-79.8660914,7219.50100156546
"165","Hannover Germany ED Germany",52.3758916,9.7320104,875.740988758473
"166","Harkov  Ukraine",49.9935,36.230383,1278.40299471093
"167","Haugesund  Norway",59.413581,5.2679869,1617.71218419974
"168","Helsinki  Finland",60.1698557,24.938379,1464.39007515226
"169","Heraklion  Greece",35.3387352,25.1442126,1430.3017358384
"170","Heubach Germany ED Germany",48.7932273,9.931607,709.513206439147
"171","Hong Kong China VH China",22.396428,114.109497,8558.72674929894
"172","Houston USA KI USA",29.688745,-95.340538,9259.17245288526
"173","Hurghada  Egypt",27.2578957,33.8116067,2574.93248317905
"174","Ibiza Spain LE Spain",38.9067339,1.4205983,1725.70707836646
"175","Incirlik Air Base  Turkey",37.000633,35.423292,1762.05748120835
"176","Ingolstadt Germany ET Germany",48.7665351,11.4257541,600.854032688618
"177","Innsbruck  Austria",47.2692124,11.4041024,592.831673543109
"178","Ioannina  Greece",39.6650288,20.8537466,873.26851113253
"179","Istambul  Turkey",41.0082376,28.9783589,1054.33137767945
"180","Ivano Frankovsk  Ukraine",48.922633,24.711117,438.22821488021
"181","Izmir  Turkey",38.423734,27.142826,1189.39014284315
"182","Jászvásár  Romania",47.1584549,27.6014418,632.085405257636
"183","Yekaterinburg Russia US Russia",43.2586801,-75.0821053,6927.18001748089
"184","Yerevan  Armenia",40.1791857,44.4991029,2173.70450129132
"185","Yerez Spain LE Spain",36.6850064,-6.1260744,2400.21297637301
"186","Jonkoping  Sweden",57.7826137,14.1617876,1200.72896235671
"187","Kabul  Afghanistan",34.5553494,69.207486,4355.89097234191
"188","Cairo  Egypt",30.0444196,31.2357116,2188.20925959994
"189","Kalamata  Greece",37.0422371,22.1141264,1178.51219809651
"190","Kandahar  Afghanistan",31.628871,65.7371749,4286.86829729373
"191","Kansai Japan RJ Japan",40.5261935,141.4492798,8717.37944498837
"192","Kansas City USA KM USA",39.0997265,-94.5785667,8403.25553538469
"193","Karachi  Pakhistan",24.8614622,67.0099388,4871.56192323601
"194","Karlsruhe Germany ED Germany",49.0068901,8.4036527,823.812969153851
"195","Karlstad  Sweden",59.4021806,13.5114977,1383.79597121039
"196","Karpathos  Greece",35.507574,27.2121995,1480.71176978992
"197","Kartúm  Sudan",15.5006544,32.5598994,3748.51392099695
"198","Karup  Denmark",56.307765,9.1676629,1203.99393308206
"199","Kosice  Slovakia",48.7163857,21.2610746,206.491381818165
"200","Kassel Germany ED Germany",51.3127114,9.4797461,829.099174235704
"201","Katowice  Poland",50.2648919,19.0237815,314.756805537847
"202","Kaunas  Lithuania",54.8985207,23.9035965,890.987208569395
"203","Kavala  Greece",40.937607,24.412866,831.51182591821
"204","Kayseri  Turkey",38.720489,35.482597,1633.32301410132
"205","Kazan Russia UW Russia",55.8304307,49.0660806,2242.75005535117
"206","Kefallinia  Greece",38.1753675,20.5692179,1034.62645951926
"207","Keflavik  Iceland",63.9997549,-22.5582716,3120.69398421883
"208","Kelafo  Ethiopia",5.604404,44.129681,5209.03591719982
"209","Kijev  Ukraine",50.4501,30.5234,889.998653487977
"210","Kilimandjaro  Tanzania",-4.1336927,37.8087693,5995.49819940871
"211","Kirov Russia US Russia",43.2586801,-75.0821053,6927.18001748089
"212","Klagenfurt  Austria",46.6364598,14.3122246,385.664749800237
"213","Cluj Napoca  Romania",46.7712101,23.6236353,340.118090663471
"214","Coppenhagen  Denmark",55.6760968,12.5683371,1025.88605476972
"215","Corfu  Greece",39.6249838,19.9223461,869.79139989803
"216","Kos  Greece",36.8925871,27.2877926,1344.87620683357
"217","Köln Germany ED Germany",50.937531,6.9602786,975.199217639867
"218","Krakkow  Poland",50.0646501,19.9449799,296.477951867331
"219","Krasnodar Russia UR Russia",45.0392674,38.987221,1541.13700899229
"220","Kristiansand  Norway",58.1599119,8.0182064,1409.18854068654
"221","Kristiansund  Norway",63.1103346,7.728079,1885.37139677206
"222","Krivoy Rog  Ukraine",47.910483,33.391783,1061.75650709257
"223","Kuala Lumpur  Malaysia",3.139003,101.686855,9184.19911737131
"224","Kulob  Tajikistan",37.9273983,69.8001762,4196.88448194828
"225","Kumamoto Japan RJ Japan",32.8031004,130.7078911,8803.05094015631
"226","Kuwait  Kuwait",29.375859,47.9774052,3180.09501254787
"227","La Ceiba  Honduras",15.770288,-86.7919009,9891.60771733897
"228","Lahr Germany ED Germany",48.33915,7.8781487,855.529719194553
"229","Lamezia-Terme  Italy",38.962912,16.3092719,971.269327229042
"230","Larnaca  Cyprus",34.9002535,33.6231723,1836.11128279646
"231","Las Palmas Spain GC Spain",28.3887935,-13.8732723,3555.51848644464
"232","Lasham  United Kingdom",51.1777448,-1.034798,1527.0474318628
"233","Le Havre - Octeville  France",49.5314403,0.0920744,1431.17993740611
"234","Le Touquet  France",50.521276,1.590675,1333.80798771618
"235","Leeds  United Kingdom",53.8007554,-1.5490774,1625.17187360133
"236","Liege  Belgium",50.6325574,5.5796662,1058.93429328175
"237","Lille  France",50.62925,3.057256,1233.19583140691
"238","Limoges  France",45.833619,1.261105,1385.76662614283
"239","Linkoping  Sweden",58.410807,15.6213727,1244.73166455511
"240","Linz  Austria",48.30694,14.28583,383.642568472351
"241","Leipzig Germany ED Germany",51.3396955,12.3730747,660.959386536582
"242","Lisbon  Portugal",38.7222524,-9.1393366,2488.68332591901
"243","Liverpool  United Kingdom",53.4083714,-2.9915726,1705.39550820022
"244","Ljubljana  Slovenia",46.0569465,14.5057515,393.633513723071
"245","Lodz  Poland",51.7592485,19.4559833,480.793454339516
"246","London  United Kingdom",51.5073509,-0.1277583,1470.41533349099
"247","London Ashford Airport  United Kingdom",50.9556491,0.9335008,1386.94015751565
"248","Lulea  Sweden",65.584819,22.1567026,2027.93654973227
"249","Luxemburg  Luxembourg",49.611621,6.1319346,997.224970501448
"250","Luxor  Egypt",25.6872431,32.6396357,2686.00604826281
"251","Lübeck Germany ED Germany",53.8654673,10.6865593,935.640429731893
"252","Lvov  Ukraine",49.839683,24.029717,441.875436626837
"253","Lyon  France",45.764043,4.835659,1118.32031055528
"254","Lyon Bron  France",45.75826,4.855387,1117.00040125161
"255","Maastricht  The Netherlands",50.8513682,5.6909725,1057.65837627034
"256","Madrid Spain LE Spain",40.4167754,-3.7037902,1992.05010549152
"257","Magnitogorsk Russia US Russia",43.2586801,-75.0821053,6927.18001748089
"258","Mahe Island  Seychelles Islands",-4.6826693,55.480396,6775.78438806259
"259","Malaga Spain LE Spain",36.721261,-4.4212655,2278.24195518434
"260","Male  Maldive Islands",4.1754959,73.5093474,7045.98110851972
"261","Malmö  Sweden",55.604981,13.003822,1005.75471156947
"262","Manchester  United Kingdom",53.4807593,-2.2426305,1659.24504864848
"263","Mannheim Germany ED Germany",49.4874592,8.4660395,828.614133749777
"264","Manston  United Kingdom",51.345814,1.37035,1364.70315095694
"265","Maribor  Slovenia",46.5546503,15.6458812,291.182014458962
"266","Marl-Loemuehle Germany ED Germany",51.6591234,7.1060218,994.575610700171
"267","Tirgu Mures  Romania",46.5385862,24.5514392,415.414579143389
"268","Marsa Alam  Egypt",25.0676256,34.8789697,2839.90761642832
"269","Marseille  France",43.296482,5.36978,1178.69141602087
"270","Mauritius  Mauritius",-20.348404,57.552152,8428.67540834221
"271","Mazari Sharif  Afghanistan",36.6926167,67.1179511,4067.0170384415
"272","Mazatlan  Mexico",23.2494148,-106.4111425,10482.8210633821
"273","Memmingen Germany ED Germany",47.9837999,10.1801883,682.911632977927
"274","Metz  France",49.1193089,6.1757156,986.928591450415
"275","Mielec  Poland",50.287063,21.4238101,354.629650999187
"276","Milan  Italy",45.4654219,9.1859243,803.0742342706
"277","Mildenhall  United Kingdom",52.347568,0.5156095,1447.42251315665
"278","Mineralnye Vody Russia UR Russia",44.211675,43.1238527,1881.67154277417
"279","Minszk  Belorussia",53.9045398,27.5615244,927.489737574318
"280","Mitiga  Lybia",32.893585,13.275945,1692.0073286271
"281","Mogilev  Belorussia",53.9007159,30.3313598,1061.02224940856
"282","Mombasa  Kenya",-4.0434771,39.6682065,6043.59250325268
"283","Monastir  Tunesia",35.7642515,10.8112885,1473.07071227845
"284","Montbelliard  France",47.510356,6.798466,937.635618870003
"285","Monterrey  Mexico",25.6866142,-100.3161126,9908.92387889946
"286","Montpellier  France",43.610769,3.876716,1271.5461238246
"287","Montreal  Canada",45.5016889,-73.567256,6675.57688888354
"288","Moscow Russia UU Russia",55.755826,37.6173,1565.6195243273
"289","Mönchengladbach Germany ED Germany",51.1804572,6.4428041,1018.28394414807
"290","Mulhouse  France",47.750839,7.335888,895.831952832581
"291","Mumbai India VA India",19.1047244,72.8453041,5748.04824837073
"292","Murcia Spain LE Spain",37.9922399,-1.1306544,1962.73399727552
"293","Muscat  Oman",23.58589,58.4059227,4357.05235272547
"294","Munnich Germany ED Germany",48.1351253,11.5819806,579.53846257927
"295","Münster Germany ED Germany",51.9606649,7.6261347,976.161070285089
"296","Nagoya Japan RJ Japan",35.1814464,136.906398,8955.14431774238
"297","Nagyszeben  Romania",45.7983273,24.1255826,415.468002378173
"298","Oradea  Romania",47.0465005,21.9189438,206.69491647132
"299","Nantes  France",47.218371,-1.553621,1568.01942387279
"300","Napoli  Italy",40.8517746,14.2681244,832.958190292534
"301","Natal  Brasil",-5.7792569,-35.200916,7941.04412631515
"302","Neubrandenburg Germany ET Germany",53.5678292,13.2779269,802.10519237739
"303","New York USA KJ USA",40.7127837,-74.0059413,7043.24402865626
"304","Newark USA KE USA",40.3744313,-74.4008204,7093.13511841334
"305","Newcastle  United Kingdom",54.978252,-1.61778,1672.9126392138
"306","Nizza  France",43.7101728,7.2619532,1021.9600287512
"307","Norwich  United Kingdom",52.6308859,1.297355,1404.97848762088
"308","Novosibirsk Russia UN Russia",55.0083526,82.9357327,4368.01958556853
"309","Nürnberg Germany ED Germany",49.45203,11.07675,644.387060922441
"310","Nikolaev  Ukraine",46.975033,31.994583,965.837834099506
"311","Odessa  Ukraine",46.482526,30.7233095,878.87186213305
"312","Ohrid  Macedonia",41.1230977,20.8016481,712.552409570283
"313","Okayama Japan RJ Japan",34.6551456,133.9195019,8832.75247279146
"314","Olbia  Italy",40.9235764,9.4964429,1062.58484616589
"315","Omsk Russia UN Russia",54.9884804,73.3242362,3770.06322355678
"316","Oostend  Belgium",51.21543,2.928656,1255.39098411882
"317","Orebro  Sweden",59.2752626,15.2134105,1343.85508470999
"318","Oslo  Norway",59.9138688,10.7522454,1494.8834160075
"319","Ostrava  Czech Republic",49.8209226,18.2625243,274.748549334445
"320","Oxford  United Kingdom",51.7520209,-1.2577263,1552.21870500213
"321","Paderborn Germany ED Germany",51.7189205,8.7575093,894.515713317305
"322","Palermo  Italy",38.1156879,13.3612671,1141.44244486205
"323","Palma de Mallorca Spain LE Spain",39.5696005,2.6501603,1596.87401640835
"324","Pamplona Spain LE Spain",42.812526,-1.6457745,1716.3685558639
"325","Papeete  French Polynesia",-17.5516251,-149.5584758,16536.6495256638
"326","Paphos  Cyprus",34.7720133,32.4297369,1784.84086705097
"327","Pardubice  Czech Republic",50.0343092,15.7811994,385.192136065399
"328","Paris  France",48.856614,2.3522219,1264.59197475144
"329","Parma  Italy",44.801485,10.3279036,748.77960362196
"330","Payerne (civil)  Switzerland",46.8220266,6.9405663,935.463747962294
"331","Pécs  Hungary",46.0727345,18.232266,170.575681283056
"332","Peking China ZB China",39.904211,116.407395,7350.4217640164
"333","Pennang  Malaysia",5.4141675,100.3287589,8897.10141137901
"334","Perm Russia US Russia",56.758278,54.925529,2617.87037454752
"335","Peruggia  Italy",43.1107168,12.3908279,721.322162079939
"336","Pescara  Italy",42.4617902,14.2160898,680.621231041698
"337","Philadelphia USA KP USA",39.9525839,-75.1652215,7172.96707849701
"338","Phoenix USA KP USA",33.4483771,-112.0740373,9817.87873320895
"339","Phuket  Thailand",7.9519331,98.3380884,8541.73046256372
"340","Pisa  Italy",43.7228386,10.4016888,803.913508922434
"341","Pittsburgh USA KP USA",40.3797104,-80.1506685,7454.01581096474
"342","Plovdiv  Bulgaria",42.1354079,24.7452904,731.988165319408
"343","Podgorica  Montenegro",42.4304196,19.2593642,556.546386875451
"344","Pori  Finland",61.4851393,21.7974178,1571.96134921896
"345","Port Harcourt International Airport  Niger",4.815554,7.0498442,4865.98994759037
"346","Porto  Portugal",41.1579438,-8.6291053,2317.29517346402
"347","Poznan  Poland",52.406374,16.9251681,577.159026039698
"348","Bratislava  Slovakia",48.1485965,17.1077477,178.871372387562
"349","Prague  Czech Republic",50.0755381,14.4378005,459.399955645272
"350","Prestwick  United Kingdom",55.495587,-4.6142139,1871.7149242135
"351","Pristina  Serbia",42.6629138,21.1655028,551.70362672752
"352","Pskov Russia UL Russia",57.8166994,28.3344734,1305.85167267276
"353","Ramstein Germany ED Germany",49.445759,7.5545404,892.60545844055
"354","Ras Al Khaimah  United Arab Emirates",25.8006926,55.9761994,4009.93258661104
"355","Reggio Calabria  Italy",38.1113006,15.6472914,1076.95024259652
"356","Rennes  France",48.117266,-1.6777926,1565.41623114532
"357","Reus Spain LE Spain",41.1498259,1.1055321,1602.67744023129
"358","Rhodos  Greece",36.4349631,28.2174829,1428.4495179181
"359","Riga  Latvia",56.9496487,24.1051864,1108.46173635875
"360","Riyad  Saudi Arabia",24.7135517,46.6752957,3494.39644738406
"361","Rijeka  Croatia",45.3270631,14.442176,437.919014978722
"362","Rimini  Italy",44.0678288,12.5695158,640.35728363695
"363","Rome  Italy",41.9027835,12.4963655,814.977465483514
"364","Ronneby  Sweden",56.210434,15.2760229,1013.29812942663
"365","Rostock Germany ED Germany",54.0924406,12.0991466,894.800144724713
"366","Rostov Russia UR Russia",57.2472262,39.5086627,1748.40064866676
"367","Rotterdam  The Netherlands",51.9244201,4.4777325,1174.24037027465
"368","Rouen  France",49.443232,1.099971,1357.81956687359
"369","Rovaniemi  Finland",66.5039478,25.7293905,2156.56382604537
"370","Rzeszow  Poland",50.0411867,21.9991196,353.01151246746
"371","Saarbrücken Germany ED Germany",49.2401572,6.9969327,929.095247402104
"372","Salalah  Oman",17.0506675,54.1065864,4635.18111373808
"373","Sal Island  Cape Verde",16.7266152,-22.9297109,5138.3233274973
"374","Salzburg  Austria",47.80949,13.05501,467.357396469827
"375","Samos  Greece",37.7547857,26.9777701,1247.28668087272
"376","Santander Spain LE Spain",43.4623057,-3.8099803,1849.76090663809
"377","Santiago de Compostela Spain LE Spain",42.8782132,-8.5448445,2230.611258976
"378","Santo Domingo  Dominic Republic",18.4860575,-69.9312117,8457.4334509012
"379","Santorini  Greece",36.3931562,25.4615092,1329.54567228586
"380","Sao Luiz  Brasil",-2.5391099,-44.2829046,8269.36432666623
"381","Sapporo Japan RJ Japan",43.0266826,141.3560804,8488.0357938677
"382","Saratov Russia UW Russia",51.5923654,45.9608032,1976.58805016761
"383","Sármellék  Hungary",46.7159777,17.1687979,177.295728389947
"384","Schwaebisch Hall Germany ED Germany",49.1124645,9.7372649,729.681361999594
"385","Schwerin Germany ED Germany",53.6355022,11.4012499,884.817074576317
"386","Sebha  Lybia",27.0087129,14.4490398,2305.92897797506
"387","Sendai Japan RJ Japan",38.268215,140.8693558,8891.50120899558
"388","Sevilla Spain LE Spain",37.3890924,-5.9844589,2343.00065841716
"389","Sfax  Tunesia",34.7478469,10.766163,1577.0720806367
"390","Shanghai China ZS China",31.230416,121.473701,8354.0975726788
"391","Shannon  Ireland",52.7124708,-8.8730676,2081.76445567769
"392","Sharjah  United Arab Emirates",25.3223269,55.5136433,4016.72574140855
"393","Sharm el Sheikh  Egypt",27.9158175,34.3299505,2532.39781573066
"394","Simferopol  Ukraine",44.952117,34.102417,1177.29229820698
"395","Sion  Switzerland",46.2331221,7.360626,915.945943964279
"396","Sliac  Slovakia",48.6164496,19.1360232,131.257864056502
"397","Sonderborg  Denmark",54.913811,9.792178,1060.65233831461
"398","Split  Croatia",43.5081323,16.4401935,488.883268315788
"399","St. Etienne  France",45.439695,4.3871779,1161.69850288553
"400","Stavanger  Norway",58.9699756,5.7331073,1562.92073924691
"401","Stockholm  Sweden",59.3293235,18.0685808,1325.64147827368
"402","Strasbourg  France",48.5734053,7.7521113,866.321701017596
"403","Stuttgart Germany ED Germany",48.7226176,9.2925415,754.964391569306
"404","Suceava  Romania",47.6634521,26.2732302,529.044829623025
"405","Sundsvall  Sweden",62.390811,17.306927,1668.96346170392
"406","Syktyvkar Russia UU Russia",61.6478508,50.8339029,2542.0506760913
"407","Szarajevó  Bosnia-Herczegovina",43.8562586,18.4130763,403.445729063129
"408","Sarajevo  Poland",43.8562586,18.4130763,403.445729063129
"409","St. Petersburg Russia UL Russia",59.9152979,30.3128859,1564.54675477043
"410","Singapore  Singapore",1.3553794,103.8677444,9493.59078596408
"411","Skopje  Macedonia",41.9973462,21.4279956,628.720260138313
